date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:22	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2009:24:21%20GMT	http://localhost/robots.txt		(from )
15:24:31	87952/87952	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202019%2009:24:21%20GMT	http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/index.php/mashup-2-projec-1/index.html	(from )
15:24:32	25242/25242	---M--	200	added ('OK')	text/css	etag:%22629a-57ea707ad7640%22	http://localhost/Form%20Bundle/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-includes/css/dist/block-library/style.min3c21.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:33	1031/1031	---M--	200	added ('OK')	text/css	etag:%22407-57dc4975bef80%22	http://localhost/Form%20Bundle/wp-includes/css/dist/block-library/theme.min.css?ver=5.1.1	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-includes/css/dist/block-library/theme.min3c21.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:37	436660/436660	---M--	200	added ('OK')	text/css	etag:%226a9b4-57f7ceea4c000%22	http://localhost/Form%20Bundle/wp-content/plugins/essential-addons-elementor/assets/css/essential-addons-elementor.css?ver=5.1.1	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-content/plugins/essential-addons-elementor/assets/css/essential-addons-elementor3c21.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:37	2845/2845	---M--	200	added ('OK')	text/css	etag:%22b1d-57b7c5765be00%22	http://localhost/Form%20Bundle/wp-content/plugins/essential-addons-elementor/assets/css/lity.min.css?ver=5.1.1	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-content/plugins/essential-addons-elementor/assets/css/lity.min3c21.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:38	3840/3840	---M--	200	added ('OK')	text/css	etag:%22f00-57f161f1485c0%22	http://localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/formreset.min.css?ver=2.4.5	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/formreset.min747d.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:38	73192/73192	---M--	200	added ('OK')	text/css	etag:%2211de8-57f161f1485c0%22	http://localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/formsmain.min.css?ver=2.4.5	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/formsmain.min747d.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:40	30175/30175	---M--	200	added ('OK')	text/css	etag:%2275df-57f161f1485c0%22	http://localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/readyclass.min.css?ver=2.4.5	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/readyclass.min747d.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
15:24:40	7288/7288	---M--	200	added ('OK')	text/css	etag:%221c78-57f161f1485c0%22	http://localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/browsers.min.css?ver=2.4.5	C:/My%20Web%20Sites/Singlae%20Page%20APP%20Landing%20Page/localhost/Form%20Bundle/wp-content/plugins/gravityforms/css/browsers.min747d.css	(from http://localhost/Form%20Bundle/index.php/mashup-2-projec-1/)
